"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"GSV","Gold Standard Ventures Corporation","0.5","$71.39M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/gsv"
"AUMN","Golden Minerals Company","0.4371","$23.24M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aumn"
"GSS","Golden Star Resources, Ltd","0.2157","$55.97M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gss"
"GV","Goldfield Corporation (The)","1.66","$42.25M","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/gv"
"GRC","Gorman-Rupp Company (The)","27.31","$717.18M","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/grc"
"GTE","Gran Tierra Energy Inc.","3.77","$1.05B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gte"
"GPL","Great Panther Silver Limited","0.5388","$75.2M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gpl"
"GRH","GreenHunter Resources, Inc.","0.82","$32.34M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/grh"
"GRH^C","GreenHunter Resources, Inc.","20.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grh^c"
"SIM","Grupo Simec, S.A. de C.V.","7.78","$1.29B","1993","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/sim"
"GVP","GSE Systems, Inc.","1.5","$26.83M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gvp"
"HCHC","HC2 Holdings, Inc.","11","$261.97M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/hchc"
"HEB","Hemispherx BioPharma, Inc.","0.2589","$55.69M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/heb"
"HLM^","Hillman Group Capital Trust","28.7399","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hlm^"
"HMG","HMG/Courtland Properties, Inc.","12.11","$12.63M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hmg"
"HH","Hooper Holmes, Inc.","0.488","$37.78M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hh"
"HUSA","Houston American Energy Corporation","0.21","$10.96M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/husa"
"IBIO","iBio, Inc.","0.91","$67.32M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ibio"
"IBO","IBO (Listing Market - NYSE Amex Network B F)","153.82","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibo"
"IEC","IEC Electronics Corp.","4.15","$42.09M","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/iec"
"IG","IGI Laboratories, Inc.","5.22","$275.93M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ig"
"IMUC","ImmunoCellular Therapeutics, Ltd.","0.4628","$41.77M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imuc"
"IMH","Impac Mortgage Holdings, Inc.","26.91","$258.51M","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/imh"
"IMO","Imperial Oil Limited","43.3","$36.7B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/imo"
"IOT","Income Opportunity Realty Investors, Inc.","6.77","$28.22M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iot"
"IRT","Independence Realty Trust, Inc.","9.08","$289.6M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/irt"
"IGC","India Globalization Capital Inc.","0.51","$7.67M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/igc"
"IGC/WS","India Globalization Capital Inc.","0.0038","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/igc/ws"
"INFU","InfuSystems Holdings, Inc.","3.1","$69.16M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/infu"
"IHT","InnSuites Hospitality Trust","2.32","$19.21M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iht"
"NSPR","InspireMD, Inc.","0.27","$21.1M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nspr"
"IFMI","Institutional Financial Markets, Inc.","1.4699","$22.61M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ifmi"
"IDN","Intellicheck Mobilisa, Inc.","1.5868","$15.59M","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/idn"
"INS","Intelligent Systems Corporation","2.9599","$26.51M","1992","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/ins"
"THM","International Tower Hill Mines Ltd","0.3998","$46.5M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/thm"
"INTT","inTest Corporation","4.86","$51.33M","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/intt"
"INUV","Inuvo, Inc","2.32","$56.31M","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/inuv"
"VKI","Invesco Advantage Municipal Income Trust II","11.58","$513.93M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vki"
"ISR","IsoRay, Inc.","1.76","$96.59M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/isr"
"ISDR","Issuer Direct Corporation","6.96","$16.12M","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/isdr"
"ITI","Iteris, Inc.","1.8","$58.6M","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/iti"
"KIQ","Kelso Technologies Inc","4.38","$198.18M","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/kiq"
"LTS","Ladenburg Thalmann Financial Services Inc","3.35","$623.92M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/lts"
"LTS^A","Ladenburg Thalmann Financial Services Inc","24.45","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lts^a"
"LSG","Lake Shore Gold Corp","0.9964","$434.02M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/lsg"
"LAQ","Latin America Equity Fund, Inc. (The)","21.946","$163.47M","1991","n/a","n/a","http://www.nasdaq.com/symbol/laq"
"LGL","LGL Group, Inc. (The)","4.82","$12.61M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lgl"
"LGL/WS","LGL Group, Inc. (The)","0.0105","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lgl/ws"
"LBY","Libbey, Inc.","40.04","$872.53M","1993","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lby"
"LBMH","Liberator Medical Holdings, Inc.","2.94","$156.31M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/lbmh"
"LIQT","LiqTech International, Inc.","0.8428","$33.21M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/liqt"
"LEI","Lucas Energy, Inc.","0.1971","$6.9M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lei"
"MCZ","Mad Catz Interactive Inc","0.4269","$31.36M","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/mcz"
"MVG","Mag Silver Corporation","6.94","$480.06M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mvg"
"MHR^C","Magnum Hunter Resources Corporation","19.62","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mhr^c"
"MHR^D","Magnum Hunter Resources Corporation","30.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mhr^d"
"MHR^E","Magnum Hunter Resources Corporation","16.02","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mhr^e"
"MSTX","Mast Therapeutics, Inc.","0.5203","$83.05M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mstx"
"MHH","Mastech Holdings, Inc","9.8","$42.44M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/mhh"
"MDGN","Medgenics, Inc.","7.81","$194.5M","2011","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/mdgn"
"MDGN/WS","Medgenics, Inc.","3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mdgn/ws"
"IPB","Merrill Lynch & Co., Inc.","27.57","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/ipb"
"MEA","Metalico Inc","0.3312","$24.41M","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/mea"
"MXC","Mexco Energy Corporation","5.36","$10.93M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mxc"
"CCA","MFS California Insured Municipal Trust","11.79","$32.85M","1999","n/a","n/a","http://www.nasdaq.com/symbol/cca"
"MGT","MGT Capital Investments Inc","0.5001","$6.77M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/mgt"
"MDW","Midway Gold Corporation","0.3331","$60.03M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mdw"
"MGH","Minco Gold Corporation","0.28","$14.17M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mgh"
"MGN","Mines Management, Inc.","0.5533","$16.5M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mgn"
"MVF","MuniVest Fund, Inc.","10.16","$650.06M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mvf"
"MZA","MuniYield Arizona Fund, Inc.","17.25","$79.25M","1993","n/a","n/a","http://www.nasdaq.com/symbol/mza"
"NNVC","NanoViricides, Inc.","1.85","$104.64M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nnvc"
"NHC","National HealthCare Corporation","63.55","$896.83M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/nhc"
"NHC^A","National HealthCare Corporation","15.51","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nhc^a"
"NAVB","Navidea Biopharmaceuticals, Inc.","1.35","$202.96M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/navb"
"NTIP","Network-1 Technologies, Inc.","2.29","$55.47M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ntip"
"NBW","Neuberger Berman California Intermediate Municipal Fund Inc.","16.7","$92.48M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nbw"
"NHS","Neuberger Berman High Yield Strategies Fund","12.52","$244.65M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nhs"
"NBH","Neuberger Berman Intermediate Municipal Fund Inc.","15.48","$290.49M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nbh"
"NML","Neuberger Berman MLP Income Fund Inc.","18.43","$1.04B","2013","n/a","n/a","http://www.nasdaq.com/symbol/nml"
"NBO","Neuberger Berman New York Intermediate Municipal Fund Inc.","14.11","$71.62M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nbo"
"NRO","Neuberger Berman Real Estate Securities Income Fund, Inc.","5.16","$287.87M","2003","n/a","n/a","http://www.nasdaq.com/symbol/nro"
"CUR","Neuralstem, Inc.","1.89","$170.74M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cur"
"UWN","Nevada Gold & Casinos, Inc.","1.6799","$27.32M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/uwn"
"NSU","Nevsun Resources Ltd","4","$798.63M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nsu"
"GBR","New Concept Energy, Inc","1.72","$3.35M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gbr"
"NEN","New England Realty Associates Limited Partnership","48.7","$185.55M","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/nen"
"NGD","NEW GOLD INC.","3.3","$1.68B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ngd"
"HLTH","Nobilis Health Corp.","6.92","$423.56M","2015","n/a","n/a","http://www.nasdaq.com/symbol/hlth"
"NSAT","Norsat International Inc.","4.95","$28.87M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/nsat"
"NAK","Northern Dynasty Minerals, Ltd.","0.395","$41.46M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nak"
"NOG","Northern Oil and Gas, Inc.","8.77","$539.78M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nog"
"NBY","NovaBay Pharmaceuticals, Inc.","0.6485","$40.29M","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nby"
"NCQ","NovaCopper Inc.","0.5702","$34.57M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ncq"
"NG","Novagold Resources Inc.","3.76","$1.2B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ng"
"NTN","NTN Buzztime, Inc.","0.4075","$37.65M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ntn"
"NVX","Nuveen California Dividend Advantage Municipal Fund 2","14.52","$214.3M","2001","n/a","n/a","http://www.nasdaq.com/symbol/nvx"
"NZH","Nuveen California Dividend Advantage Municipal Fund 3","13.76","$332.33M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nzh"
"NCB","Nuveen California Municipal Value Fund 2","16.52","$54.32M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ncb"
"CFD","Nuveen Diversified Commodity Fund","12.33","$111.55M","2010","n/a","n/a","http://www.nasdaq.com/symbol/cfd"
"NXZ","Nuveen Dividend Advantage Municipal Fund 2","14.0352","$413.74M","2001","n/a","n/a","http://www.nasdaq.com/symbol/nxz"
"NZF","Nuveen Dividend Advantage Municipal Fund 3","14.02","$509.35M","2007","n/a","n/a","http://www.nasdaq.com/symbol/nzf"
"NVG","Nuveen Dividend Advantage Municipal Income Fund","14.25","$379.96M","2002","n/a","n/a","http://www.nasdaq.com/symbol/nvg"
"CTF","Nuveen Long/Short Commodity Total Return Fund","16.35","$267.25M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ctf"
"NOM","Nuveen Missouri Premium Income Municipal Fund","15.26","$35.59M","1993","n/a","n/a","http://www.nasdaq.com/symbol/nom"
"NMZ","Nuveen Municipal High Income Opportunity Fund","13.74","$687.99M","2003","n/a","n/a","http://www.nasdaq.com/symbol/nmz"
"NJV","Nuveen New Jersey Municipal Value Fund","14.7","$22.79M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/njv"
"NXK","Nuveen New York Dividend Advantage Municipal Fund 2","13.44","$87.13M","2001","n/a","n/a","http://www.nasdaq.com/symbol/nxk"
"NYV","Nuveen New York Municipal Value Fund 2","15.03","$35.31M","2009","n/a","n/a","http://www.nasdaq.com/symbol/nyv"
"NPN","Nuveen Pennsylvania Municipal Value Fund","15.49","$18.89M","2009","n/a","n/a","http://www.nasdaq.com/symbol/npn"
"JRS","Nuveen Real Estate Fund","11.46","$331.11M","2001","n/a","n/a","http://www.nasdaq.com/symbol/jrs"
"OGEN","Oragenics, Inc.","0.87","$33.39M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ogen"
"TIS","Orchids Paper Products Company","21.95","$192.26M","2005","Basic Industries","Paper","http://www.nasdaq.com/symbol/tis"
"ONVO","Organovo Holdings, Inc.","4.77","$388.69M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/onvo"
"ONP","Orient Paper, Inc.","1.8","$36.57M","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/onp"
"OESX","Orion Energy Systems, Inc.","2.99","$81.98M","2007","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/oesx"
"OSGB","Overseas Shipholding Group, Inc.","3.32","$101.42M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/osgb"
"ORM","Owens Realty Mortgage, Inc.","13.29","$143.11M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/orm"
"PHF","Pacholder High Yield Fund, Inc.","7.46","$96.95M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/phf"
"PBM","Pacific Booker Minerals Inc","4.15","$51.31M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/pbm"
"PCG^A","Pacific Gas & Electric Co.","29.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^a"
"PCG^B","Pacific Gas & Electric Co.","26.9999","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^b"
"PCG^C","Pacific Gas & Electric Co.","25.39","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^c"
"PCG^D","Pacific Gas & Electric Co.","24.89","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^d"
"PCG^E","Pacific Gas & Electric Co.","25.34","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^e"
"PCG^G","Pacific Gas & Electric Co.","23.63","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^g"
"PCG^H","Pacific Gas & Electric Co.","23.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^h"
"PCG^I","Pacific Gas & Electric Co.","23.98","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcg^i"
"PTN","Palatin Technologies, Inc.","0.89","$37.52M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ptn"
"PARR","Par Petroleum Corporation","24.11","$894.33M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/parr"
"PZG","Paramount Gold and Silver Corp.","1.75","n/a","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/pzg"
"PRK","Park National Corporation","81.67","$1.26B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/prk"
"PED","Pedevco Corp.","0.7","$26.47M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ped"
"PFNX","Pfenex Inc.","12.74","$261.46M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pfnx"
"PIP","PharmAthene, Inc","1.59","$101.18M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pip"
"HNW","Pioneer Diversified High Income Trust","17.44","$145.32M","2007","n/a","n/a","http://www.nasdaq.com/symbol/hnw"
"PLG","Platinum Group Metals Ltd.","0.45","$346.02M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/plg"
"PLM","Polymet Mining Corp.","1.1674","$322.75M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/plm"
"PW","Power REIT","6.1","$10.56M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/pw"
"PW^A","Power REIT","26.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pw^a"
"APTS","Preferred Apartment Communities, Inc.","11.01","$241.83M","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/apts"
"PLX","Protalix BioTherapeutics, Inc.","2.18","$204.06M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/plx"
"PVCT","Provectus Biopharmaceuticals, Inc.","0.886","$164.06M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pvct"
"RLGT","Radiant Logistics, Inc.","5.23","$181.55M","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/rlgt"
"RLGT^A","Radiant Logistics, Inc.","27.8335","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rlgt^a"
"REE","Rare Element Resources Ltd.","0.66","$34.94M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ree"
"UTG","Reaves Utility Income Fund","30.15","$874.78M","2004","n/a","n/a","http://www.nasdaq.com/symbol/utg"
"REED","Reeds, Inc.","5.11","$66.78M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/reed"
"RWC","RELM Wireless Corporation","6.59","$90.22M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/rwc"
"RCG","RENN Fund, Inc.","1.2","$5.36M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rcg"
"RVP","Retractable Technologies, Inc.","4.15","$114.94M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/rvp"
